0,1,2,3,4,5,6
51,241,-5.7764,-120.,90.758,3380,0.10743
51,235,-6.5008,-120.,90.968,3380,0.10749
51,237,-6.2516,-120.,91.919,3380,0.10773
52,225,-8.3372,-120.,89.613,3380,0.10715
52,223,-8.5933,-120.,88.683,3380,0.10692
52,220,-9.0374,-120.,89.857,3380,0.10722
53,227,-7.8565,-120.,91.427,3380,0.10762
53,237,-6.2516,-120.,91.919,3380,0.10773
53,231,-7.1082,-120.,94.093,3380,0.1083
54,227,-7.8565,-120.,91.427,3380,0.10762
54,231,-7.1082,-120.,94.093,3380,0.1083
54,214,-9.904,-120.,92.112,3380,0.10781
55,227,-7.8565,-120.,91.427,3380,0.10762
55,214,-9.904,-120.,92.112,3380,0.10781
55,220,-9.0374,-120.,89.857,3380,0.10722
56,227,-7.8565,-120.,91.427,3380,0.10762
56,220,-9.0374,-120.,89.857,3380,0.10722
56,225,-8.3372,-120.,89.613,3380,0.10715
57,227,-7.8565,-120.,91.427,3380,0.10762
57,225,-8.3372,-120.,89.613,3380,0.10715
57,235,-6.5008,-120.,90.968,3380,0.10749
58,227,-7.8565,-120.,91.427,3380,0.10762
58,235,-6.5008,-120.,90.968,3380,0.10749
58,237,-6.2516,-120.,91.919,3380,0.10773
59,232,-6.9679,-120.,89.165,3380,0.10704
59,223,-8.5933,-120.,88.683,3380,0.10692
59,228,-7.7041,-120.,86.405,3380,0.10634
60,232,-6.9679,-120.,89.165,3380,0.10704
60,228,-7.7041,-120.,86.405,3380,0.10634
60,245,-4.8957,-120.,88.564,3380,0.10689
61,232,-6.9679,-120.,89.165,3380,0.10704
61,245,-4.8957,-120.,88.564,3380,0.10689
61,241,-5.7764,-120.,90.758,3380,0.10743
62,232,-6.9679,-120.,89.165,3380,0.10704
62,241,-5.7764,-120.,90.758,3380,0.10743
62,235,-6.5008,-120.,90.968,3380,0.10749
63,232,-6.9679,-120.,89.165,3380,0.10704
63,235,-6.5008,-120.,90.968,3380,0.10749
63,225,-8.3372,-120.,89.613,3380,0.10715
64,232,-6.9679,-120.,89.165,3380,0.10704
64,225,-8.3372,-120.,89.613,3380,0.10715
64,223,-8.5933,-120.,88.683,3380,0.10692
65,177,-15.833,-120.,140.87,3399,0.10319
65,169,-17.251,-120.,143.32,3399,0.10276
65,197,-12.295,-120.,143.44,3399,0.10258
66,1,-32.805,-120.,116.88,3415,0.10929
66,0,-32.924,-120.,121.19,3415,0.10848
66,16,-30.093,-120.,118.32,3415,0.10908
67,226,-8.113,-120.,150.47,3429,0.10215
67,218,-9.54,-120.,153.01,3429,0.10223
67,243,-5.3928,-120.,154.18,3429,0.10249
68,250,-4.0658,-120.,91.691,3466,0.10764
68,263,-2.0045,-120.,91.016,3466,0.10742
68,257,-2.8829,-120.,92.974,3466,0.10791
69,250,-4.0658,-120.,91.691,3466,0.10764
69,257,-2.8829,-120.,92.974,3466,0.10791
69,247,-4.4686,-120.,93.311,3466,0.10805
70,250,-4.0658,-120.,91.691,3466,0.10764
70,247,-4.4686,-120.,93.311,3466,0.10805
70,238,-6.2516,-120.,91.919,3466,0.10773
71,250,-4.0658,-120.,91.691,3466,0.10764
71,238,-6.2516,-120.,91.919,3466,0.10773
71,242,-5.7764,-120.,90.758,3466,0.10743
72,250,-4.0658,-120.,91.691,3466,0.10764
72,242,-5.7764,-120.,90.758,3466,0.10743
72,254,-3.011,-120.,90.17,3466,0.10725
73,250,-4.0658,-120.,91.691,3466,0.10764
73,254,-3.011,-120.,90.17,3466,0.10725
73,263,-2.0045,-120.,91.016,3466,0.10742
74,238,-6.2516,-120.,91.919,3466,0.10773
74,247,-4.4686,-120.,93.311,3466,0.10805
